,a.gmm,Anant.gmm,b.gmm,c.gmm,d.gmm,ddc.gmm,e.gmm,f.gmm,g.gmm,h.gmm,i.gmm,j.gmm,k.gmm,l.gmm,m.gmm,n.gmm,o.gmm,p.gmm,q.gmm,r.gmm,s.gmm,sneh.gmm,t.gmm,vivek.gmm,yash.gmm,Max_Score
1,-74.8425865353972,-138.75740473839338,-84.2560119979029,-89.97245983290769,-90.3615686628911,-125.9562878985435,-87.97136960629842,-107.36093097718401,-152.11415363665552,-105.63381821817276,-112.57806492959666,-123.23734574438834,-111.26175561680218,-100.76500597134093,-106.54490922432906,-84.52723565088309,-91.67741058756948,-86.67497682467781,-81.75313624496346,-100.11746981453295,-83.85803818373394,-161.3273420742162,-78.59986985278563,-134.08669816487438,-134.96102074003355,-74.8425865353972
2,-81.04715984170029,-128.95053486487723,-94.72845537150424,-95.56738954614585,-99.25811048505572,-126.23802632916309,-95.37293317713657,-127.51541807997972,-144.34297217905373,-110.09399105697912,-118.35412714513951,-121.67402427333847,-114.40861323067195,-114.09204990437954,-108.6126421660321,-93.15313161007697,-94.81710622251093,-91.74545437882223,-89.65215297741385,-103.7228656762467,-98.04061166402568,-141.88281872531593,-88.01249044245226,-127.14011475463082,-137.44391190854122,-81.04715984170029
3,-81.25001348657862,-139.42171369398866,-96.885858453415,-100.44224234118433,-99.09388987365453,-135.9809405818918,-101.2288758995407,-132.20580427392318,-150.62754560879625,-115.94798963718507,-119.85429790622543,-124.77738270215652,-125.61761090022463,-113.12113569998836,-106.89924476134689,-97.68532102067319,-100.0128002876357,-93.68923677266575,-94.2125457015642,-107.1285446242792,-101.2381644802542,-162.27227093509967,-88.5607741445894,-136.16134881137205,-150.55641986620745,-81.25001348657862
4,-91.20242487289109,-121.36708192527198,-99.26378733500357,-94.32889491539814,-97.01256296238745,-118.44759023360662,-95.15947822606468,-122.47248964450249,-144.70917053893135,-109.16109401020253,-120.37461723974026,-116.03138112982285,-109.85008347344534,-117.30161863837009,-110.51295149503088,-93.98700862207183,-98.4077157965464,-94.62309238121263,-91.04129459624572,-102.40197305078884,-95.17199342937472,-134.24979774127982,-91.34855975994836,-122.155443284656,-134.64772945845374,-91.04129459624572
