,Anant.gmm,ddc.gmm,Max_Score
1,-89.1349746828997,-76.09446176140575,-76.09446176140575
2,-89.84292057886894,-78.2878257966899,-78.2878257966899
3,-91.50227587780554,-74.68550640622969,-74.68550640622969
4,-86.55531883997281,-90.74681219498387,-86.55531883997281
